URL,Project Name,Short Description,Why It's Relevant
https://github.com/automazeio/ccpm,ccpm,"Portable Agent Skill; pre-save quality gate (no placeholders/unmeasurable metrics), brainstorm discovery Qs, <=10-task ceiling, epic decomposition","Tier-2 spec/plan -- inline save-block quality gate and task ceiling jim lacks"
https://github.com/SuperClaude-Org/SuperClaude_Framework,SuperClaude Framework,"v4.3.0 (~23.6k star, branch master); confidence-check skill (weighted 5-criterion score, proceed/ask/stop), deep-research agent","Tier-1 research -- pre-handoff confidence gate (studied but deliberately not adopted as scored gate)"
https://github.com/akaszubski/autonomous-dev,autonomous-dev,"Skill/agent plugin (~30 star, branch master); Haiku local + Sonnet web researchers, coordinator verifies WebSearch ran, empty-result justification, 30-day cache","Tier-1 research -- closest analogue to jim's Phase-0/1 split; anti-hallucination tool-use gate"
https://github.com/PabloLION/bmad-plugin,BMAD-METHOD,"Heavyweight role-driven spec pipeline (46k star, v6 native-skills)","Tier-2 spec -- study for structure, not adoption"
https://github.com/VoltAgent/awesome-claude-code-subagents,VoltAgent,"Subagent catalog; tool-scoping-by-role, numeric DoD gates, fixed completion-notification string, adversarial idea-validator","Tier-2 meta/plan -- DoD gate conventions and structured design-review agents"
https://github.com/affaan-m/ecc,ECC,"Renamed from everything-claude-code (230k star); architect ADR + 8 named anti-patterns (read-only), risk-rated planner, security-reviewer autofire taxonomy","Tier-2 plan/sec -- anti-pattern watchlist and concrete auto_security triggers"
https://github.com/nguyenvanduocit/research-kit,research-kit,"v1.0.20; /principles semver'd methodology doc, 6 coverage dimensions, Sync Impact Report, phase-separated templates","Tier-2 research -- methodology-as-versioned-artifact and phase separation"
https://github.com/Weizhena/Deep-Research-skills,Deep-Research-skills,"Two-phase outline -> parallel deep-dive agents -> synthesis, with human checkpoint before fan-out","Tier-2 research -- human-gated deep-research fan-out pattern"
https://github.com/trailofbits/skills,Trail of Bits skills,"Pro audit suite (19 plugins); semgrep-rule-creator, variant-analysis, supply-chain-risk-auditor","Tier-1 sec (runtime) -- quality bar for secure-coding depth; informs future jim:review"
https://github.com/anthropics/claude-code-security-review,Anthropic security review action,"Official Anthropic GitHub Action; diff-scoped vuln-class analysis (injection, authZ, crypto, XSS, RCE), findings filter","Tier-1 sec (runtime) -- vuln-scan complement to jim's design-time threat modeling"
https://github.com/anthropics/claude-plugins-official,security-guidance (official),"Official plugin (32k star, v2.0.6); 100% hook-driven 3-tier escalation, baseline-SHA session diffing, names Agent/Subprocess Permission Bypass + Orchestrator Template Injection","Sec/review reference -- validates jim's design-time vs post-build split; reference architecture for /jim:review"
https://github.com/wshobson/agents,wshobson/agents,"Monorepo (38k star); security-scanning (attack-tree-construction, requirement-extraction, mitigation-mapping) + comprehensive-review pipeline","Tier-1 sec (design slice) -- attack-tree construction, threat-to-testable-requirement extraction, layered mitigation matrix; real jim:sec gap-fillers"
https://github.com/fr33d3m0n/threat-modeling,threat-modeling,"v3.2.0; 8-phase pipeline (DFD -> STRIDE -> risk validation -> mitigation), 8MB SQLite KB of 1,900+ CAPEC/CWE/ATT&CK/ASVS patterns","Tier-1 sec -- closest analogue to jim:sec's ambitions; KB-backed findings jim lacks"
https://github.com/getsentry/skills,getsentry/skills,"security-review skill; confidence-tiered (HIGH/MED/LOW), investigates before reporting to avoid false positives","Tier-2 sec -- confidence tiering and investigate-before-report"
https://github.com/Security-Phoenix-demo/security-skills-claude-code,Security Phoenix,"STRIDE-integrated Secure PRD Generator (abuse cases + RFC2119) + /threatmodel (STRIDE+DREAD+attack trees)","Tier-2 sec -- STRIDE embedded into PRD authoring"
https://learn.microsoft.com/en-us/azure/security/develop/threat-modeling-tool-threats,Microsoft STRIDE,"Official STRIDE threat categories reference (updated 2026-03-04)","Canonical authoritative ref for jim:sec's STRIDE sweep"
https://linddun.org/threat-types/,LINDDUN,"LINDDUN privacy threat-type catalog (KU Leuven DistriNet)","Canonical authoritative ref for jim:sec's conditional LINDDUN privacy sweep"
https://linddun.org/,LINDDUN (home),"LINDDUN privacy threat-modeling methodology homepage","Authoritative privacy-threat source for jim:sec"
https://www.nist.gov,NIST (LINDDUN ref),"NIST reference to LINDDUN (upd. Mar 2025)","Corroborating standards source for jim:sec privacy modeling"
https://github.com/danielrosehill/Claude-Ideation-Planning-Plugin,Claude-Ideation-Planning-Plugin,"Most feature-complete ideation tool found; 6 workspace variants + ICEC/council/debate simulation agents","Tier-2 brainstorm -- rich ideation structure reference"
https://github.com/MadeByTokens/claude-brainstorm,claude-brainstorm,"UserPromptSubmit/PreToolUse hooks literally block file creation during ideation; SCAMPER / Six Hats / Reverse-Brainstorm","Tier-2 brainstorm -- enforced (not advised) no-commit ideation gate"
https://github.com/Jamie-BitFlight/claude_skills,Jamie-BitFlight/claude_skills,"brainstorming-skill; 30+ prompt patterns across 14 categories","Tier-3 brainstorm -- grab-bag prompt-pattern reference"
https://github.com/Pimzino/claude-code-spec-workflow,Pimzino/claude-code-spec-workflow,"Dormant ~10mo; product/tech/structure steering docs","Dormant Tier-1; redirect study to MCP successor"
https://github.com/Pimzino/spec-workflow-mcp,spec-workflow-mcp,"MCP successor to Pimzino's dormant spec-workflow","Where to study Pimzino's steering-doc pattern now"
https://github.com/zhsama/claude-sub-agent,zhsama/claude-sub-agent,"Dormant ~11mo; scored % quality gates (95/85/95), architect/planner artifact split","Tier-3 plan -- scored-gate contrast to jim's boolean gates (pattern-mine only)"
https://github.com/dralgorhythm/claude-agentic-framework,claude-agentic-framework,"/threat-modeling command variant","Tier-3 sec -- reference variant"
https://agentskills.io,agentskills.io,"Emerging cross-agent Agent Skills standard","Relevant to VISION Phase 3 cross-agent portability goal"
https://skills.sh,skills.sh,"Claude skills directory (fetched fine during research)","Directory used to verify plugin currency"
https://claudemarketplaces.com,claudemarketplaces.com,"Claude plugin/marketplace directory","Directory used for substantive plugin data"
https://www.claudepluginhub.com/,claudepluginhub.com,"Plugin directory (HTTP 403 -- homepage un-swept); 961-plugin security topic page","Directory; blocked per WebFetch guardrail, sampled via 3 developer-provided plugins"
https://code.claude.com/docs/en/skills,Claude Code docs -- Skills,"Official skills docs; evolved (custom commands merged into skills, cites agentskills.io)","Authoritative reference for jim's own skill authoring (cited in 002/003)"
https://code.claude.com/docs/en/sub-agents,Claude Code docs -- Sub-agents,"Official sub-agents docs, current","Authoritative reference for jim's agent conventions (cited in 002/003)"
https://newsletter.kentbeck.com,Kent Beck -- Augmented Coding,"Blog (moved from tidyfirst.substack.com); TDD/Tidy-First framing","Source for jim:build's TDD + Tidy-First discipline (006)"
https://alexop.dev,alexop.dev -- Claude Code TDD Skill,"Blog; custom TDD workflow (retitled)","jim:build TDD workflow reference (006)"
https://nathanfox.net,nathanfox.net -- Taming GenAI Agents,"Blog on controlling GenAI agents","jim:build agent-control reference (006)"
https://abstracta.us,abstracta.us -- Requirements,"Blog on software requirements (retitled for Enterprise Software)","jim:spec requirements reference (015)"
https://www.perforce.com,perforce.com -- Non-Functional Requirements,"Blog on NFRs (retitled Tips, Tools, and Examples)","jim:spec NFR reference (015)"
https://isoform.ai,isoform.ai -- Limits of SDD,"Blog validating limits of spec-driven development","External validation of jim's SDD thesis (015)"
https://medium.com/@haberlah,Haberlah -- PRD article,"Medium article on PRDs (re-pulled first-hand)","jim:spec PRD reference (015); flagged for re-verification"
https://www.volere.co.uk,Volere,"Volere requirements specification template (active)","Named requirements standard referenced in 015"
