clarity_rank,path,dimension,fix,quote,note
2,skills/plan/SKILL.md,vague,specify,"For every non-obvious choice, write a Chosen/Why/Rejected block","""non-obvious"" vs ""obvious"" boundary left to judgment"
2,skills/plan/SKILL.md,vague,specify,"Mermaid diagram for non-trivial flows","""non-trivial"" gives no threshold for when to diagram"
2,skills/research/SKILL.md,vague,specify,"Phase 0 found sufficient local context AND the spec is a bug or refactor","""sufficient local context"" gives no skip threshold"
2,skills/research/SKILL.md,hedging,specify,"include a file-level table ... when the repo is accessible (best-effort)","""best-effort"" hedges an otherwise clear requirement"
2,skills/vision/SKILL.md,vague,specify,"Draft with reasonable defaults from prior answers","""reasonable defaults"" unmeasurable; name what to seed from"
2,skills/vision/SKILL.md,vague,specify,"Use numbered options where appropriate","""where appropriate"" gives no condition for when to number"
2,skills/arch/SKILL.md,vague,specify,"include actual line-range anchors where relevant","""where relevant"" makes the anchor requirement optional and untestable"
2,skills/roadmap/SKILL.md,vague,specify,"group under meaningful themes","""meaningful themes"" is untestable"
2,skills/sec/SKILL.md,vague,tighten,"Look for non-obvious issues first. Expert judgment drives this phase.","""expert judgment drives"" gives no actionable criterion"
2,skills/meta-test/SKILL.md,vague,specify,"if the user is using run as their primary feedback loop","""occasionally""/""primary"" unmeasurable threshold"
2,agents/meta.md,vague,specify,"If research is missing or inadequate, delegate","""inadequate"" has no threshold; cite the research DoD"
2,skills/spec/SKILL.md,wordy,cut,"This respects their priorities and avoids feeling like an interrogation.","Motivational rationale; changes no instruction"
2,skills/arch/SKILL.md,wordy,cut,"This signals completeness, not omission.","Adds no instruction beyond the rule above it"
2,skills/vision/SKILL.md,wordy,cut,"the goal is clarity of direction, not exhaustive documentation.","Padding after ""Keep it concise"""
2,skills/build/SKILL.md,wordy,tighten,"WS-4's ""after the final build commit"" refers to the final TDD task commit","Long forensic aside disambiguating a spec phrase"
2,agents/issue-analyst.md,wordy,tighten,"the operative control is this treat-as-data disposition plus your absent write/exec capability","Over-explains a rule already stated twice above"
2,agents/meta.md,wordy,tighten,"invalidate any existing plan (it was built on flawed research; tell the user to re-run","Parenthetical rationale bloats the imperative"
2,skills/meta-test/SKILL.md,wordy,cut,"Sibling to /jim:meta-skill and /jim:meta-agent — completes the meta-* family","Motivational framing, no instruction"
2,skills/conf/SKILL.md,wordy,tighten,"the same script every other jim skill uses to resolve document paths via ... !-injection primitive","Background detail not needed to run the skill"
2,skills/file/SKILL.md,wordy,tighten,"they're flags, not paths, and existence-checking them is meaningless","Rationale longer than the rule it justifies"
2,skills/roadmap/SKILL.md,hedging,imperative,"consider running /jim:vision first to establish product direction","""consider"" where a plain suggestion reads cleaner"
2,skills/vision/SKILL.md,hedging,imperative,"No architecture doc yet — you might want to create one after this.","""you might want to"" softens a direct suggestion"
2,agents/researcher.md,figurative,replace,"You are the early warning system for the PM and Architect","Metaphor restates the flag-infeasibility duty above it"
2,agents/pm.md,wordy,tighten,"A professional commitment you make to the architect — you scope; they design.","Motivational framing; the split is stated below"
3,agents/architect.md,figurative,replace,"Codebase archaeology. Read actual files before designing.","Label adds nothing over the imperative that follows"
3,skills/spec/SKILL.md,vague,specify,"If a topic area still feels vague after 5 questions","""feels vague"" untestable trigger despite the count"
3,skills/spec-check/SKILL.md,vague,specify,"Could an expert architect reasonably disagree with this AC's framing?","""reasonably disagree"" gives no objective threshold"
3,skills/spec-check/SKILL.md,wordy,cut,"Cap at 3 iterations (matching spec-kit's checklists/requirements.md precedent)","Precedent citation is padding on the cap"
3,skills/brainstorm/SKILL.md,vague,specify,"Ask light clarifying questions ... just enough to deepen ideas","Unmeasurable stopping point for questions"
3,skills/brainstorm/SKILL.md,redundant,cut,"No rigid structure — the goal is to think freely, not to produce a spec.","Restated later by ""Let the user think freely"""
3,skills/debug/SKILL.md,vague,specify,"execute tests beyond what is needed to confirm reproduction.","""what is needed"" leaves the test-run boundary fuzzy"
3,skills/meta-test/SKILL.md,hedging,specify,"If the coder is repeatedly adding cases without matching them to ACs","""repeatedly"" vague; no count"
3,skills/sec/SKILL.md,wordy,tighten,"downstream gates will determine whether the available coverage satisfies their requirements.","Defers to unnamed gates; adds length without an action"
3,agents/coder.md,wordy,tighten,"The plan tells you what; spec.md and research.md tell you why.","Aphorism padding after ""Plan is law"""
3,skills/meta-test/SKILL.md,wordy,tighten,"DO NOT ""tidy"" the comment away — it is load-bearing context for future readers","Could be ""Keep the comment."" — shorter"
3,skills/file/SKILL.md,redundant,cut,"wrap jimfile.sh get ... calls in the SET + IF form","SET+IF pattern stated twice in the same file"
4,skills/spec/SKILL.md,vague,keep,"include anything an attentive developer might want to revisit","Intentional wide-net accumulation heuristic (spec/build/research/brainstorm/debug) feeding the strict fileable-bar filter; works in practice; no specific testable replacement found — leave as-is"
4,agents/pm.md,good,keep,"IDs: 3-digit zero-padded, sequential within each group","Exact format spec"
4,agents/researcher.md,good,keep,"In the Peer Feedback section of research.md (passive, persistent)","Names the exact section and channel"
4,skills/vision/SKILL.md,good,keep,"Table-only format (Approach / Pros / Cons). No summary paragraphs beneath the table.","Exact format, exact exclusion"
4,skills/arch/SKILL.md,good,keep,"Check package manifests (package.json, go.mod, requirements.txt, Cargo.toml)","Names the exact files to grep"
4,skills/debug/SKILL.md,good,keep,"choose one: direct fix (Option A), plan update (Option B), or spec update (Option C)","Forced single choice with labeled options"
4,skills/plan/SKILL.md,good,keep,"atomic tasks in dependency order, each with **Verify:** shell command","Specific, verifiable task requirement"
4,skills/research/SKILL.md,good,keep,"20-line rule: Link, don't paste. URL + key constraints, not full code blocks.","Named rule with a concrete bound"
4,skills/issue/SKILL.md,good,keep,"If you can't write a 1-sentence imperative for what filing the issue would close","Concrete, testable filter"
4,skills/brainstorm/SKILL.md,good,keep,"critical (blocks current scope) | high (clearly worth doing soon) | medium (real follow-on)","Each priority level gets a concrete criterion"
4,skills/roadmap/SKILL.md,good,keep,"Any item description exceeds 3-4 lines → consolidate","Exact line threshold triggers exact response"
4,skills/file/SKILL.md,good,keep,"., .., and empty results are explicitly rejected","Names the exact rejected inputs"
5,agents/architect.md,good,keep,"No writes to .git/, ~/.ssh/, node_modules/, .venv/, .env, .env-*","Exact enumerated paths"
5,agents/coder.md,good,keep,"stuck after 3 Green attempts: STOP.","Exact threshold and action"
5,agents/security.md,good,keep,"LINDDUN activates whenever PII, credentials, or session data is present","Exact trigger condition"
5,agents/meta.md,good,keep,"Gate order is spec → research → plan. Never build without all three.","Exact ordering and absolute condition"
5,skills/spec/SKILL.md,good,keep,"No confidence scores. No numeric thresholds. The question is structural.","Replaces a vague gate with one literal test"
5,skills/build/SKILL.md,good,keep,"After 3 consecutive failed Green attempts on the same task: STOP.","Exact threshold plus imperative stop"
5,skills/spec-check/SKILL.md,good,keep,"Good (passes): ... Bad (routes to Handoff): ...","Concrete pass/fail examples make the rule executable"
5,skills/meta-test/SKILL.md,good,keep,"the exact form if [[ ""${BASH_SOURCE[0]}"" == ""${0}"" ]]; then","Exact literal plus the wrong forms to avoid"
5,skills/sec/SKILL.md,good,keep,"Categories are never silently omitted; explicit N/A is required.","Closes the skip loophole with a hard rule"
5,skills/conf/SKILL.md,good,keep,"Output is the script's stdout, verbatim.","Terse, exact contract"
5,skills/file/SKILL.md,good,keep,"else the literal string NOT_FOUND","Exact sentinel value"
