clarity_rank,path,dimension,fix,quote,note
2,korswerk/docs/specs/ui/001-new-topic-form/spec.md,hedging,tighten,"Failed files are reported in a single modal titled (e.g.) Failed to add the following files","""(e.g.)"" makes the exact title non-binding"
2,korswerk/docs/specs/ui/002-topic-landing/spec.md,hedging,specify,"renders an empty state with copy along the lines of ""No learning artifacts yet""","""along the lines of"" leaves the AC unverifiable"
2,korswerk/docs/specs/ui/003-nav-system/spec.md,hedging,specify,"Labels are short (≤7 chars); final wording per Open Questions","Deferring final wording leaves the label ACs unverifiable"
2,korswerk/docs/specs/ui/004-list-topics-ui/spec.md,redundant,cut,"read 4 rows on mount, then re-read only when the user navigates to a topic","Snapshot rule stated in overview, problem, stories, AND the AC"
2,korswerk/docs/specs/quiz/001-schema-types/spec.md,wordy,cut,"the four copies would silently disagree with each other and with the Django server","Motivational padding restating the drift risk twice"
2,korswerk/docs/specs/quiz/002-local-store/spec.md,wordy,cut,"a place to keep a quiz, a session that captures one sitting bound to a frozen copy","Overview restates the whole AC set in prose"
2,korswerk/docs/specs/develop/003-rust-tdd/spec.md,wordy,cut,"placing tempfile in [dev-dependencies] does not work with this pattern","Cargo-internals rationale in an AC; belongs in plan"
2,korswerk/docs/specs/ui/002-topic-landing/spec.md,wordy,cut,"Local SQLite reads complete in <1 paint frame, so the brief stale period is imperceptible","Rationale padding inside an AC; prevents no mistake"
2,korswerk-django/docs/specs/quizzes/001-core-content-model/spec.md,vague,specify,"are expected to be rendered safely by consumers","""rendered safely"" undefined; name the escaping contract"
2,korswerk-django/docs/specs/quizzes/001-core-content-model/spec.md,vague,specify,"stable, opaque, space-efficient id that is unique within the document","""space-efficient"" is unmeasurable in an AC"
2,korswerk-django/docs/specs/quizzes/002-quiz-persistence-and-seed/spec.md,vague,specify,"with coherent ""The Solar System"" content so it doubles as the demo quiz","""coherent"" is an untestable content-quality bar"
2,korswerk-django/docs/specs/quizzes/005-server-side-take-flow/spec.md,vague,specify,"an automatic fallback to a bar past the design's threshold","""the design's threshold"" leaves the trigger value unnamed"
2,korswerk-django/docs/specs/quizzes/006-quizzes-in-app-shell/spec.md,wordy,tighten,"so the take-flow feels like part of the app","Motivational; two-paragraph problem statement is padded"
2,korswerk-django/docs/specs/quizzes/008-quiz-creation-form/spec.md,wordy,tighten,"silently coerces bad input to defaults, and hardcodes the source subset to ""none""","Grievance-style problem statement runs long"
2,korswerk-django/docs/specs/quizzes/009-quiz-creation-ui/spec.md,vague,tighten,"honest reassurance while it builds, and a confident ""here's your quiz — begin"" hand-off","Motivational, unmeasurable (""honest"", ""confident"")"
2,korswerk-django/docs/specs/auth/002-ninja-api-and-accounts-app/spec.md,vague,specify,"parked in a clearly-marked temporary location with a comment that it must be relocated","""clearly-marked"" unmeasurable; no observable check"
2,korswerk-django/docs/specs/llm/001-generation-gateway/spec.md,vague,specify,"large outputs are delivered without hitting transport timeouts","No threshold or observable; ""large""/""timeouts"" untestable"
2,korswerk-django/docs/specs/llm/001-generation-gateway/spec.md,wordy,cut,"duplicated, inconsistent, and leaking credentials toward the client","Motivational padding in problem statement"
2,korswerk-django/docs/specs/llm/002-ai-quiz-generation/spec.md,redundant,cut,"so there is exactly one generate-and-create path","Single-service-path point restated across overview, problem, story, AC"
2,korswerk-django/docs/specs/infra/001-local-s3-object-storage/spec.md,wordy,cut,"a developer hits a dead end: they either point dev at cloud R2","Problem statement narrates drama; adds no requirement"
2,korswerk-django/docs/specs/sources/002-source-upload-component/spec.md,wordy,cut,"Build a reusable, form-agnostic file-upload component — a drag-drop dropzone + picker","Overview is one ~200-word run-on sentence"
2,korswerk-django/docs/specs/topics/002-new-topic-form/spec.md,redundant,cut,"That component owns: a drag-drop dropzone and an ""Add your notes"" multi-select picker","Re-lists sources/002's ACs it already delegates"
2,korswerk-django/docs/specs/topics/003-topic-overview/spec.md,hedging,specify,"a deterministic order that is stable across reloads (exact ordering field per Open Questions)","AC defers its own ordering value; not yet testable"
2,korswerk-django/docs/specs/topics/004-list-topics/spec.md,vague,specify,"N days ago, then a coarser form for older values","""coarser form"" boundary undefined in the AC itself"
2,korswerk-django/docs/specs/quizzes/008-quiz-creation-form/spec.md,vague,specify,"fewer than the configured minimum ingested chunks is rejected","Threshold value lives only in an insight, not the AC"
3,korswerk/docs/specs/auth/001-app-passwordless-auth/spec.md,hedging,tighten,"Polling runs roughly every 30–60s while the app is foregrounded","""roughly"" softens an already-bounded numeric range"
3,korswerk/docs/specs/backend/003-list-topics-command/spec.md,vague,specify,"does not table-scan once it has a non-trivial number of rows","""non-trivial number"" unmeasurable as a threshold"
3,korswerk/docs/specs/develop/002-svelte-tdd/spec.md,vague,tighten,"The Svelte testing plugin (or equivalent mechanism) is wired","""or equivalent mechanism"" hand-waves the requirement"
3,korswerk/docs/specs/develop/003-rust-tdd/spec.md,vague,specify,"or equivalent location resolved at planning time","Location deferred; the AC pins nothing concrete"
3,korswerk/docs/specs/develop/004-sqlite-migrations/spec.md,vague,specify,"state/mod.rs exposes a clear three-step API surface","""clear"" vague, though the three steps are then named"
3,korswerk/docs/specs/ui/004-list-topics-ui/spec.md,vague,specify,"returns a string like just now, 5 minutes ago; Granularity is best-effort","""best-effort"" leaves boundary transitions unpinned"
3,korswerk/docs/specs/ui/001-new-topic-form/spec.md,vague,specify,"the label Add notes (or Add your notes)","Two allowed labels leave the exact string unpinned"
3,korswerk-django/docs/specs/auth/001-passwordless-auth/spec.md,vague,specify,"the requester sees a clear error and is allowed to request another code","""clear error"" is unmeasurable; name the signal"
3,korswerk-django/docs/specs/leads/001-waitlist/spec.md,vague,specify,"a friendly fallback page that explains the link is no longer valid","""friendly"" untestable; name the required copy/element"
3,korswerk-django/docs/specs/llm/002-ai-quiz-generation/spec.md,vague,specify,"rendering barebones HTML","""barebones/minimal"" undefined; state required elements"
3,korswerk-django/docs/specs/rag/001-server-note-ingestion-and-retrieval/spec.md,vague,specify,"the upload response itself is not slowed","""not slowed"" unmeasurable; state the latency observable"
3,korswerk-django/docs/specs/subscription/001-rate-plans-usage-quota/spec.md,hedging,specify,"output is typically more expensive","""typically"" hedges; weight relationship left unstated in AC"
3,korswerk-django/docs/specs/topics/001-topic-model/spec.md,undefined,define,"Description text is treated as Markdown, consistent with the rest of the content surfaces","""rest of the content surfaces"" is an undefined reference"
3,korswerk-django/docs/specs/topics/004-list-topics/spec.md,vague,specify,"A topic never opened shows a safe fallback rather than a broken or empty date","""safe fallback"" value unspecified"
3,korswerk-django/docs/specs/ui/001-svg-icons-tool/spec.md,vague,specify,"the tool alerts the user and prompts for confirmation before overwriting","""alerts"" mechanism unspecified (observable but loose)"
3,korswerk-django/docs/specs/quizzes/003-quiz-session-model-and-schema/spec.md,vague,specify,"a lifecycle status, and session-level timestamps","Status and timestamp values not named in the AC itself"
3,korswerk-django/docs/specs/pages/001-homepage/spec.md,vague,specify,"I see a layout appropriate to my device","""appropriate"" vague in story; ACs below carry real breakpoints"
3,korswerk-django/docs/specs/ui/003-authenticated-app-home/spec.md,wordy,cut,"the ≤4 cap and recency ordering are sourced to the origin HomePage.svelte","Sourcing annotations pad nearly every AC"
3,korswerk-django/docs/specs/ui/002-app-shell-navigation/spec.md,wordy,cut,"supersedes the original External Constraint that locked the design's 248px","Long amendment rationale embedded in an AC"
3,korswerk/docs/specs/develop/008-svelte-layout/spec.md,hedging,tighten,"per the architect's call on whether consistency is worth the touch","Hedged AC leaves dialog.ts update genuinely optional"
5,korswerk/docs/specs/backend/003-list-topics-command/spec.md,good,keep,"Alphabetical order — case-insensitive on title ascending, tie-broken by created_at DESC, id ASC","Exact SQL ordering incl. collation and tiebreak"
5,korswerk/docs/specs/backend/001-create-topic-command/spec.md,good,keep,"source_ids.length === paths.length on the success path; ordering matches input paths","Exact count and ordering invariant, directly testable"
5,korswerk/docs/specs/backend/002-read-topic-commands/spec.md,good,keep,"returns an empty array [], NOT an IpcError","Exact return-shape boundary with edge case pinned"
5,korswerk/docs/specs/develop/004-sqlite-migrations/spec.md,good,keep,"timestamp suffix uses ISO-8601 basic format (YYYYMMDDTHHMMSSZ, e.g. 20260507T142233Z)","Exact filename format with worked example"
5,korswerk/docs/specs/develop/005-rust-layout/spec.md,good,keep,"packages/rust/src/commands/ no longer exists; ipc/mod.rs exists and contains the greet command","Exact file-level before/after, fully verifiable"
5,korswerk/docs/specs/develop/006-ipc-error-boundary/spec.md,good,keep,"BackupCorrupt → (backupCorrupt, Operation)","Explicit variant-to-(kind,category) mapping"
5,korswerk/docs/specs/develop/007-svelte-router/spec.md,good,keep,"An unknown hash route (#/does-not-exist) redirects to / and renders NewTopicPage","Named input, exact redirect target, observable render"
5,korswerk/docs/specs/develop/003-rust-tdd/spec.md,good,keep,"asserts that foreign_keys is ON (PRAGMA foreign_keys returns 1)","Load-bearing check with exact expected value"
5,korswerk/docs/specs/observability/001-structured-logging/spec.md,good,keep,"rotates daily, and files older than a 7-day retention window are pruned","Exact interval and retention value"
5,korswerk/docs/specs/quiz/001-schema-types/spec.md,good,keep,"score an integer 0–100, Rating ∈ {again, hard, good, easy}","Enumerated closed sets; exhaustively testable"
5,korswerk/docs/specs/quiz/002-local-store/spec.md,good,keep,"Re-trying an item appends a new attempt and never overwrites; attempts ordered oldest-first","Precise append-only guarantee with ordering"
5,korswerk/docs/specs/rag/001-text-splitter/spec.md,good,keep,"two consecutive chunkings of the same text yield byte-identical chunk sequences","Determinism made concretely observable"
5,korswerk/docs/specs/sources/002-binary-format-ingest/spec.md,good,keep,"reveals a detail line Ingested — X% (Y pages skipped), rounded to the nearest integer","Exact string shape and rounding rule"
5,korswerk/docs/specs/ui/001-new-topic-form/spec.md,good,keep,"Placeholder text is exactly What do you want to learn today?","Exact literal, unambiguous"
5,korswerk/docs/specs/ui/003-nav-system/spec.md,good,keep,"Sidebar widths: 200px in the md band; 248px at lg+; 68px when collapsed","Exact pixel values per breakpoint band"
5,korswerk/docs/specs/ui/004-list-topics-ui/spec.md,good,keep,"navigate to /topics/Z; assert listTopics invocation count is 2 AND first row is Z","Given/when/then with exact assertion"
5,korswerk/docs/specs/ui/005-topic-not-found-page/spec.md,good,keep,"The displayed path is exactly /topics/<id> — without the # prefix, without trailing segments","Exact output with two explicit exclusions"
5,korswerk-django/docs/specs/auth/002-ninja-api-and-accounts-app/spec.md,good,keep,"return 401 (not 403/422) when the credential is missing, malformed, unknown, or inactive","Exact status codes with negative cases"
5,korswerk-django/docs/specs/quizzes/005-server-side-take-flow/spec.md,good,keep,"equal weight, #correct / #auto-scored, excluding needs_grading/long_text","Exact scoring formula with explicit exclusions"
5,korswerk-django/docs/specs/quizzes/004-quiz-item-forms/spec.md,good,keep,"single_choice → {choice_id}, multi_select → {choice_ids} (sorted + de-duplicated)","Exact per-type payload shapes"
5,korswerk-django/docs/specs/quizzes/007-server-emitted-sample-datafiles/spec.md,good,keep,"at least one response for every answer variant, response status, and grade outcome","Explicit exhaustive coverage invariant"
5,korswerk-django/docs/specs/auth/001-passwordless-auth/spec.md,good,keep,"valid for a documented finite window (default: 15 minutes) and stops working after expiry","Exact value plus observable expiry"
5,korswerk-django/docs/specs/infra/001-local-s3-object-storage/spec.md,good,keep,"rejects request bodies larger than 100MB with HTTP 413","Exact size, exact status, exact enforcement point"
5,korswerk-django/docs/specs/llm/002-ai-quiz-generation/spec.md,good,keep,"question count within an agreed tolerance of ±0.3","Numeric tolerance makes the count AC testable"
5,korswerk-django/docs/specs/pages/001-homepage/spec.md,good,keep,"At ≤720px, the ""difference"" two-column collapses to a single-column stack","Exact breakpoint and observable layout change"
5,korswerk-django/docs/specs/rag/001-server-note-ingestion-and-retrieval/spec.md,good,keep,"500-token target, 10% overlap, words × 1.3 token heuristic","Exact chunking constants, fully verifiable"
5,korswerk-django/docs/specs/sources/001-source-model/spec.md,good,keep,"""hello world"" → b94d27b9934d3e08a52e52d7da7dabfac484efe37a5380ee9088f7ace2efcde9","Canonical test vector pins cross-app hash agreement"
5,korswerk-django/docs/specs/subscription/001-rate-plans-usage-quota/spec.md,good,keep,"exceed the allotment by more than a single in-flight call","Precise concurrency correctness boundary"
5,korswerk-django/docs/specs/topics/002-new-topic-form/spec.md,good,keep,"phone (~375px), tablet (~768px), and desktop (≥1024px) widths","Exact responsive boundaries"
5,korswerk-django/docs/specs/ui/003-authenticated-app-home/spec.md,good,keep,">4 topics renders exactly 4 cards plus the ""View all"" link","Test asserts an exact count"
5,korswerk-django/docs/specs/quizzes/003-quiz-session-model-and-schema/spec.md,good,keep,"tags are stored sorted (alphabetical) + de-duplicated","Exact normalization plus a named covering test"
5,korswerk-django/docs/specs/ui/001-svg-icons-tool/spec.md,good,keep,"the signature (size_class=""w-6 h-6"", color_css=None, extra_css=None, title=None)","Exact macro signature specified"
2,korswerk/docs/brainstorms/20260507-error-handling-and-logging.md,vague,specify,"cost control + scalability important, ""this is a Tauri app"" complication","Sentence fragment, no measure or actor"
2,korswerk/docs/brainstorms/20260508-howto-migrations.md,wordy,cut,"a full plan + build cycle for a markdown file is overhead theater","Long routing meta-debate (A/B/C) over-analyzes a doc"
2,korswerk/docs/brainstorms/20260406-tech-stack-cross-platform.md,vague,specify,"better performance, no bundled Chromium","""Better performance"" unquantified vs Electron"
2,korswerk/docs/brainstorms/20260424-build-run-environments.md,wordy,cut,"What I thought was messy: just the setup complexity. Actually on closer look it's not that bad.","Diary-style throat-clearing before the point"
2,korswerk/docs/brainstorms/20260522-llm-byok-client.md,vague,specify,"each provider adapter is small (~200–400 LOC), measured in days, not weeks","Effort estimate asserted without basis"
2,korswerk/docs/brainstorms/20260715-tauri-ondevice-rag-symmetric-with-django.md,redundant,cut,"byte-identical to the reacted-to proposal, so the co-pin is rubber-stamp","""Committed / rubber-stamp"" restated 4+ times"
2,korswerk-django/docs/brainstorms/20260608-korswerk-authentication.md,hedging,cut,"Honest answer for our context","""Honest"" preamble recurs; throat-clearing before every verdict"
2,korswerk-django/docs/brainstorms/20260617-runtime-outcome-model-for-quiz-take-flow-quizzes-003.md,redundant,cut,"class SingleChoiceAnswer(Base): type: Literal[single_choice]; choice_id: str","Same AnswerPayload block pasted three times"
2,korswerk-django/docs/brainstorms/20260624-server-rendered-ui-port-from-tauri.md,undefined,define,"accept md/txt/pdf/docx/ document files srt/vtt <-- what are these???","Raw unresolved question left inline in a spec prompt"
2,korswerk-django/docs/brainstorms/20260714-server-note-ingestion-and-RAG.md,redundant,cut,"every embedding model is 100% portable across every LLM","Embeddings⊥LLM point re-argued in 4+ sections"
3,korswerk/docs/brainstorms/20260504-data-backend-architecture.md,undefined,define,"retrieval falls back to BM25 keyword search over the chunks table","BM25 used without a one-clause gloss"
3,korswerk/docs/brainstorms/20260522-byok-vs-hosted-server-launch-strategy.md,vague,specify,"Free tier ships when finances permit.","""When finances permit"" undefined trigger"
3,korswerk-django/docs/brainstorms/20260617-llm-rag-quiz-generation.md,vague,specify,"a background job + poll/stream-progress is more robust","""more robust"" unquantified; no sync-vs-async cutoff"
3,korswerk-django/docs/brainstorms/20260624-server-rendered-ui-port-from-tauri.md,redundant,cut,"Substrate swap: Svelte component → Jinja template + macro","Same swap table duplicated in two sections"
5,korswerk/docs/brainstorms/20260506-sqlite-data-migrations.md,good,keep,"No IF NOT EXISTS in migrations. Idempotency comes from the version check, not defensive SQL.","Exemplary rule-with-reason"
5,korswerk/docs/brainstorms/20260715-pdf-parsing-formulas-tables-scientific-papers.md,good,keep,"The limitation sells the fix.","Compresses the upsell insight to four words"
4,korswerk-django/docs/brainstorms/20260617-runtime-outcome-model-for-quiz-take-flow-quizzes-003.md,good,keep,"003 records sittings; D interprets them into proficiency + scheduling.","Boundary nailed in one sentence"
4,korswerk-django/docs/brainstorms/20260714-crossrepo-prompt-tauri-embedding-space.md,good,keep,"One model everywhere; adapt quantization per device, never the model","Imperative, unambiguous joint pin"
4,korswerk-django/docs/brainstorms/20260616-create-a-quiz-exam-schema-from-research.md,good,keep,"Separate. Item = placement, Question = content.","Decision + rationale in one line"
4,korswerk/docs/brainstorms/20260522-llm-byok-client.md,good,keep,"the actual adapter count we need to write is 3","Cuts 12 providers to the real number"
